label,chunk_index,energy,timestamp
siren,0,0.00002461,2026-02-18T12:24:27
siren,1,0.00002142,2026-02-18T12:24:27
siren,2,0.00007109,2026-02-18T12:24:27
siren,3,0.00012455,2026-02-18T12:24:27
siren,4,0.00010700,2026-02-18T12:24:27
siren,5,0.00011771,2026-02-18T12:24:27
siren,6,0.00010081,2026-02-18T12:24:27
siren,7,0.00006986,2026-02-18T12:24:27
siren,8,0.00003118,2026-02-18T12:24:27
siren,9,0.00004814,2026-02-18T12:24:27
siren,10,0.00013216,2026-02-18T12:24:27
siren,11,0.00018254,2026-02-18T12:24:27
siren,12,0.00016237,2026-02-18T12:24:27
siren,13,0.00015378,2026-02-18T12:24:27
siren,14,0.00016006,2026-02-18T12:24:27
siren,15,0.00015974,2026-02-18T12:24:27
laughter,0,0.00001420,2026-02-18T12:26:18
laughter,1,0.00000185,2026-02-18T12:26:18
laughter,2,0.00000299,2026-02-18T12:26:18
laughter,3,0.00000108,2026-02-18T12:26:18
laughter,4,0.00000025,2026-02-18T12:26:18
laughter,5,0.00000152,2026-02-18T12:26:18
laughter,6,0.00002162,2026-02-18T12:26:18
laughter,7,0.00000007,2026-02-18T12:26:18
speech,0,0.00001539,2026-02-18T12:27:05
speech,1,0.00000698,2026-02-18T12:27:05
speech,2,0.00001780,2026-02-18T12:27:05
speech,3,0.00001042,2026-02-18T12:27:05
speech,4,0.00000976,2026-02-18T12:27:05
speech,5,0.00002624,2026-02-18T12:27:05
speech,6,0.00001381,2026-02-18T12:27:05
speech,7,0.00000612,2026-02-18T12:27:05
siren,0,0.00002920,2026-02-18T12:27:41
siren,1,0.00005916,2026-02-18T12:27:41
siren,2,0.00007152,2026-02-18T12:27:41
siren,3,0.00005965,2026-02-18T12:27:41
siren,4,0.00004844,2026-02-18T12:27:41
siren,5,0.00001849,2026-02-18T12:27:41
siren,6,0.00001473,2026-02-18T12:27:41
siren,7,0.00002386,2026-02-18T12:27:41
siren,8,0.00002706,2026-02-18T12:27:41
siren,9,0.00004955,2026-02-18T12:27:41
siren,10,0.00006404,2026-02-18T12:27:41
siren,11,0.00007105,2026-02-18T12:27:41
siren,12,0.00004175,2026-02-18T12:27:41
siren,13,0.00002526,2026-02-18T12:27:41
siren,14,0.00001763,2026-02-18T12:27:41
siren,15,0.00002212,2026-02-18T12:27:41
siren,0,0.00019578,2026-02-18T12:30:32
siren,1,0.00038837,2026-02-18T12:30:32
siren,2,0.00037441,2026-02-18T12:30:32
siren,3,0.00043308,2026-02-18T12:30:32
siren,4,0.00035897,2026-02-18T12:30:32
siren,5,0.00016698,2026-02-18T12:30:32
siren,6,0.00018023,2026-02-18T12:30:32
siren,7,0.00026868,2026-02-18T12:30:32
siren,8,0.00064344,2026-02-18T12:30:32
siren,9,0.00050830,2026-02-18T12:30:32
siren,10,0.00037365,2026-02-18T12:30:32
siren,11,0.00037561,2026-02-18T12:30:32
siren,12,0.00038050,2026-02-18T12:30:32
siren,13,0.00027132,2026-02-18T12:30:32
siren,14,0.00031239,2026-02-18T12:30:32
siren,15,0.00035176,2026-02-18T12:30:32
speech,0,0.00000931,2026-02-18T12:31:04
speech,1,0.00000189,2026-02-18T12:31:04
speech,2,0.00006797,2026-02-18T12:31:04
speech,3,0.00000513,2026-02-18T12:31:04
speech,4,0.00000134,2026-02-18T12:31:04
speech,5,0.00000151,2026-02-18T12:31:04
speech,6,0.00000162,2026-02-18T12:31:04
speech,7,0.00000497,2026-02-18T12:31:04
laughter,0,0.00010289,2026-02-18T12:31:25
laughter,1,0.00001969,2026-02-18T12:31:25
laughter,2,0.00001927,2026-02-18T12:31:25
laughter,3,0.00000762,2026-02-18T12:31:25
laughter,4,0.00001054,2026-02-18T12:31:25
laughter,5,0.00001575,2026-02-18T12:31:25
laughter,6,0.00000805,2026-02-18T12:31:25
laughter,7,0.00000228,2026-02-18T12:31:25
