label,trial,avg_energy,num_chunks,timestamp
silence,1,0.00000003,8,2026-02-25T13:33:47
silence,2,0.00000003,8,2026-02-25T13:34:03
silence,3,0.00000003,8,2026-02-25T13:34:14
silence,4,0.00000001,8,2026-02-25T13:34:25
silence,5,0.00000005,8,2026-02-25T13:34:35
laughter,1,0.00161572,8,2026-02-25T13:35:10
laughter,2,0.00304631,8,2026-02-25T13:35:22
laughter,3,0.00268262,8,2026-02-25T13:35:33
laughter,4,0.00301183,8,2026-02-25T13:35:47
laughter,5,0.00257062,8,2026-02-25T13:36:02
talking,1,0.00005337,8,2026-02-25T13:36:23
talking,2,0.00005007,8,2026-02-25T13:36:32
talking,3,0.00006234,8,2026-02-25T13:36:43
talking,4,0.00010401,8,2026-02-25T13:36:53
talking,5,0.00004859,8,2026-02-25T13:37:03
police_80,1,0.02004051,8,2026-02-25T13:37:50
police_80,2,0.04964094,8,2026-02-25T13:38:05
police_80,3,0.03702973,8,2026-02-25T13:38:22
police_80,4,0.03968002,8,2026-02-25T13:38:40
police_80,5,0.03727581,8,2026-02-25T13:38:49
police_20,1,0.00047778,8,2026-02-25T13:39:28
police_20,1,0.00034122,8,2026-02-25T13:39:35
police_20,2,0.00036554,8,2026-02-25T13:39:45
police_20,3,0.00039393,8,2026-02-25T13:39:55
police_20,4,0.00037806,8,2026-02-25T13:40:05
police_20,5,0.00036063,8,2026-02-25T13:40:14
fire_truck_80,1,0.06352547,8,2026-02-25T13:40:40
fire_truck_80,2,0.04961952,8,2026-02-25T13:40:50
fire_truck_80,3,0.04994953,8,2026-02-25T13:41:01
fire_truck_80,4,0.05260814,8,2026-02-25T13:41:10
fire_truck_80,5,0.05002549,8,2026-02-25T13:41:20
fire_truck_20,1,0.00084701,8,2026-02-25T13:41:37
fire_truck_20,2,0.00000010,8,2026-02-25T13:41:47
fire_truck_20,2,0.00051162,8,2026-02-25T13:41:57
fire_truck_20,3,0.00150168,8,2026-02-25T13:42:07
fire_truck_20,4,0.00146227,8,2026-02-25T13:42:17
fire_truck_20,5,0.00118814,8,2026-02-25T13:42:26
ambulance_80,1,0.02133035,8,2026-02-25T13:43:39
ambulance_80,2,0.03334816,8,2026-02-25T13:43:48
ambulance_80,3,0.01991995,8,2026-02-25T13:43:57
ambulance_80,4,0.06826974,8,2026-02-25T13:44:06
ambulance_80,5,0.08053215,8,2026-02-25T13:44:16
ambulance_20,1,0.00035366,8,2026-02-25T13:44:31
ambulance_20,2,0.00018815,8,2026-02-25T13:44:41
ambulance_20,3,0.00018581,8,2026-02-25T13:44:50
ambulance_20,4,0.00014033,8,2026-02-25T13:45:03
ambulance_20,5,0.00014267,8,2026-02-25T13:45:12
